,회사,사업,직원수,기업구분,대졸초임,정규직 채용
140,체크멀,응용 소프트웨어 개발 및 공급업,14명,중소기업,None,46회
141,큐브플랫폼㈜,솔루션·SI·CRM·ERP,20명,벤처기업,None,7회
142,㈜델타엑스,응용 소프트웨어 개발 및 공급업,40명,중소기업,None,56회
143,㈜실리콘투,상품 종합 도매업,170명,중소기업,"3,500만원",140회
144,㈜파이디지털헬스케어,솔루션·SI·CRM·ERP,20명,대기업,"2,880만원",75회
145,㈜두노소프트,포털 및 기타 인터넷 정보매개 서비스업,중소기업,2015.07.13,None,73회
146,아스코 주식회사,기계·기계설비,50명,중소기업,None,31회
147,한국자산매입㈜,응용 소프트웨어 개발 및 공급업,12명,중소기업,None,11회
148,㈜버블콘,그 외 기타 정보 서비스업,18명,중소기업,"3,000만원",113회
149,넥스원소프트㈜,응용 소프트웨어 개발 및 공급업,33명,중소기업,"3,790만원",67회
150,㈜아이니네트웍스,솔루션·SI·CRM·ERP,40명,중소기업,"3,630만원",38회
151,㈜힘스,반도체·디스플레이·광학,235명,중소기업,"3,810만원",40회
152,㈜웨일로지스틱스,"화물운송 중개, 대리 및 관련 서비스업",9명,중소기업,None,12회
153,㈜스카이컴,솔루션·SI·CRM·ERP,28명,벤처기업,None,25회
154,트라이언소프트㈜,솔루션·SI·CRM·ERP,50명,중소기업,"3,450만원",41회
155,㈜가이스트코리아,솔루션·SI·CRM·ERP,70명,벤처기업,None,29회
156,도미노피자(청오디피케이),기타 식사용 가공처리 조리식품 제조업,418명,중견기업,"3,689만원",78회
157,㈜오아시스비즈니스,포털·컨텐츠·커뮤니티,23명,벤처기업,"3,515만원",48회
158,한국유투더블유㈜,응용 소프트웨어 개발 및 공급업,56명,중소기업,None,15회
159,아이넷피아커뮤니케이션,웹에이전시,25명,중소기업,None,20회
160,㈜디엑스지,전기·전자·제어,95명,중소기업,"3,300만원",43회
161,애커튼테크놀로지서비스,컴퓨터시스템 통합 자문 및 구축 서비스업,15명,대기업,None,23회
162,㈜씨에스엠17(CSM17),학교(초·중·고·대학·특수),벤처기업,2019.12.06,None,31회
163,㈜소도커뮤니케이션즈,학원·어학원·교육원,5명,벤처기업,None,2회
164,㈜노르마,정보보안,60명,중소기업,None,159회
165,㈜올포랜드,응용 소프트웨어 개발 및 공급업,417명,중소기업,None,28회
166,㈜플랫브레드,응용 소프트웨어 개발 및 공급업,33명,중소기업,"3,550만원",36회
167,㈜세번째 공간,전자상거래 소매업,4명,중소기업,None,5회
168,㈜연세교육아카데미,학원·어학원·교육원,25명,중소기업,None,17회
169,㈜퍼즐데이터,솔루션·SI·CRM·ERP,25명,벤처기업,"3,400만원",28회
